,nombres,distancia
1761,presidenta,0.7067848545587669
633,Presidente,0.7188013540757702
114,gobernador,0.7459878718630264
137,obispo,0.7810961613135282
365,papa,0.7882364352855679
40,forma,0.0
23,tipo,0.7048306487321118
9,sistema,0.707642175310256
492,solución,0.7270704936852167
48,modelo,0.7299378947332905
80,elemento,0.7764529638772373
639,variación,0.7787500487570591
132,teoría,0.7963174435330931
170,método,0.7990834426734873
41,The,0.0
15,canción,0.7314126919680844
3,obra,0.7613813008795505
118,novela,0.7941894164856249
13,banda,0.8015684802777828
66,disco,0.8141837434462386
499,relato,0.821393116191046
34,libro,0.8285822901561111
24,álbum,0.8370786490875857
42,edificio,0.0
465,catedral,0.5553144845217123
78,iglesia,0.5555448541321306
207,torre,0.563224706647311
957,presa,0.5841195463269161
429,palacio,0.5930112278100471
259,puente,0.6050798501862762
1299,mezquita,0.6333457776952074
1929,sinagoga,0.637362166622014
43,personaje,0.0
2685,radical,0.639633553304046
1388,ángel,0.7063143650814032
4546,Greatest,0.7327554044816368
940,Virgen,0.7398706698694877
96,figura,0.7543768514878929
2652,fantasma,0.8051985896150616
535,firma,0.8081071965545027
4155,Palma,0.8132258848207911
44,partido,0.0
4293,Final,0.5124558438489215
3343,semifinal,0.5287485467170708
762,futbolista,0.6302565772561933
501,Club,0.6521072938793137
435,final,0.6747231907149792
4697,voleibol,0.6751827862340808
3900,Eurocopa,0.6990032239876347
4552,centrocampista,0.7072127798535122
45,palabra,0.0
2,nombre,0.6410144054245689
2546,vocablo,0.642105002063448
2477,epíteto,0.7137495658278247
1960,acrónimo,0.7788251750110875
203,expresión,0.7949375024911749
4,término,0.8295005909558788
1381,sigla,0.8328227735673811
1938,prefijo,0.9149801234255733
46,movimiento,0.0
199,sociedad,0.7324870888910483
948,combate,0.7419392396448056
1210,estreno,0.7535639238330523
239,arte,0.7595207103046463
180,individuo,0.7597781100829037
228,ser,0.7607867929297422
727,raza,0.7722363670282578
436,banco,0.774925930494659
47,juego,0.0
596,videojuego,0.4848471496048357
24,álbum,0.7249700285806734
574,single,0.7457266367992422
1080,EP,0.7704846162909934
123,sencillo,0.7759575612417545
683,satélite,0.7927244388292626
66,disco,0.799562272850723
1234,secuela,0.8070619436005203
48,modelo,0.0
9,sistema,0.6244469476113629
388,dispositivo,0.7200832816521686
40,forma,0.7299378947332905
243,motor,0.7550902128403848
261,vehículo,0.7615908036934427
522,compuesto,0.764627484844034
477,cámara,0.7668145408717519
80,elemento,0.7736117544076435
49,fuerza,0.0
112,ejército,0.6364959203128833
198,tropa,0.7429053813187737
434,Ejército,0.8983761428707334
191,general,0.9439428329754649
414,francés,0.9484131369845118
626,Chile,0.9604119327798913
620,flota,0.9613692342888058
94,lugar,0.9770249810111761
50,historia,0.0
970,inicio,0.9282977445955674
457,trama,0.9431516946253956
597,recorrido,0.9510951611272237
120,vida,0.9561569725890626
499,relato,0.958111555082349
644,emisión,0.9627596082560945
163,formación,0.964467612665956
1202,aventura,0.9691057267812557
51,organización,0.0
29,empresa,0.8136055224032508
155,institución,0.8190362019183054
111,diseño,0.8228947770894525
199,sociedad,0.8259618409298152
